gender,lx,dx,age
Male,100000,637,0
Male,99363,45,1
Male,99318,28,2
Male,99290,23,3
Male,99268,17,4
Male,99251,16,5
Male,99236,14,6
Male,99222,11,7
Male,99211,13,8
Male,99198,12,9
Male,99186,13,10
Male,99173,13,11
Male,99160,14,12
Male,99146,19,13
Male,99128,26,14
Male,99102,33,15
Male,99069,46,16
Male,99023,65,17
Male,98958,84,18
Male,98874,101,19
Male,98773,110,20
Male,98663,123,21
Male,98539,132,22
Male,98407,134,23
Male,98272,140,24
Male,98133,143,25
Male,97990,139,26
Male,97850,148,27
Male,97702,148,28
Male,97554,159,29
Male,97395,155,30
Male,97240,160,31
Male,97081,167,32
Male,96914,171,33
Male,96742,177,34
Male,96566,181,35
Male,96385,183,36
Male,96202,192,37
Male,96010,197,38
Male,95813,203,39
Male,95610,209,40
Male,95401,223,41
Male,95178,240,42
Male,94938,251,43
Male,94687,281,44
Male,94406,292,45
Male,94114,322,46
Male,93792,342,47
Male,93450,378,48
Male,93072,422,49
Male,92650,463,50
Male,92187,510,51
Male,91677,550,52
Male,91126,601,53
Male,90525,657,54
Male,89868,697,55
Male,89171,749,56
Male,88422,817,57
Male,87605,865,58
Male,86741,917,59
Male,85823,976,60
Male,84847,1037,61
Male,83810,1103,62
Male,82707,1192,63
Male,81515,1213,64
Male,80302,1267,65
Male,79035,1329,66
Male,77706,1376,67
Male,76331,1540,68
Male,74790,1483,69
Male,73307,1657,70
Male,71650,1789,71
Male,69861,1943,72
Male,67918,1983,73
Male,65935,2098,74
Male,63836,2231,75
Male,61605,2350,76
Male,59255,2495,77
Male,56760,2584,78
Male,54176,2722,79
Male,51454,2905,80
Male,48549,2998,81
Male,45551,3117,82
Male,42434,3199,83
Male,39235,3284,84
Male,35951,3297,85
Male,32655,3287,86
Male,29368,3373,87
Male,25994,3260,88
Male,22734,3024,89
Male,19710,2837,90
Male,16873,2702,91
Male,14172,2521,92
Male,11651,2314,93
Male,9337,2016,94
Male,7320,1681,95
Male,5639,1397,96
Male,4242,1130,97
Male,3112,888,98
Male,2224,678,99
Male,1546,502,100
Male,1045,359,101
Male,685,249,102
Male,436,167,103
Male,269,108,104
Male,161,68,105
Male,93,41,106
Male,52,24,107
Male,28,13,108
Male,15,7,109
Male,8,8,110
Female,100000,537,0
Female,99463,35,1
Female,99429,23,2
Female,99406,16,3
Female,99390,13,4
Female,99377,11,5
Female,99366,12,6
Female,99354,10,7
Female,99344,10,8
Female,99335,8,9
Female,99326,8,10
Female,99318,10,11
Female,99308,11,12
Female,99297,14,13
Female,99283,17,14
Female,99266,18,15
Female,99248,23,16
Female,99225,28,17
Female,99197,36,18
Female,99161,40,19
Female,99121,41,20
Female,99081,46,21
Female,99035,46,22
Female,98989,48,23
Female,98942,51,24
Female,98891,55,25
Female,98836,56,26
Female,98780,60,27
Female,98720,63,28
Female,98657,67,29
Female,98590,73,30
Female,98517,75,31
Female,98441,84,32
Female,98357,88,33
Female,98269,91,34
Female,98178,95,35
Female,98084,106,36
Female,97977,107,37
Female,97871,117,38
Female,97753,115,39
Female,97638,129,40
Female,97509,141,41
Female,97369,155,42
Female,97213,163,43
Female,97050,183,44
Female,96867,195,45
Female,96672,213,46
Female,96458,228,47
Female,96230,257,48
Female,95973,276,49
Female,95698,305,50
Female,95392,330,51
Female,95062,364,52
Female,94698,392,53
Female,94306,419,54
Female,93887,444,55
Female,93443,486,56
Female,92957,520,57
Female,92437,556,58
Female,91881,579,59
Female,91302,609,60
Female,90693,654,61
Female,90039,707,62
Female,89332,753,63
Female,88579,796,64
Female,87783,845,65
Female,86938,914,66
Female,86024,981,67
Female,85043,1118,68
Female,83925,1100,69
Female,82824,1261,70
Female,81563,1357,71
Female,80205,1542,72
Female,78663,1574,73
Female,77089,1682,74
Female,75408,1840,75
Female,73568,1968,76
Female,71599,2153,77
Female,69446,2267,78
Female,67179,2473,79
Female,64706,2682,80
Female,62024,2764,81
Female,59260,3046,82
Female,56214,3196,83
Female,53017,3346,84
Female,49671,3509,85
Female,46162,3608,86
Female,42554,3797,87
Female,38757,3850,88
Female,34907,3781,89
Female,31126,3770,90
Female,27356,3685,91
Female,23671,3544,92
Female,20127,3370,93
Female,16756,3058,94
Female,13698,2746,95
Female,10952,2397,96
Female,8555,2037,97
Female,6518,1682,98
Female,4837,1347,99
Female,3490,1045,100
Female,2445,784,101
Female,1661,568,102
Female,1093,397,103
Female,696,267,104
Female,429,174,105
Female,255,108,106
Female,147,65,107
Female,82,38,108
Female,44,21,109
Female,23,23,110
